,COVID Status,Gender,Race,Hispanic or Latino/A,Age,Trust in science (1-5 scale with 5 indicating most trust),Level of religious commitment (1-10 scale with 10 indicating highest trust),Political orientation (1-10 scale with 10 indicating most conservative and 1 indicating most liberal),How serious would it be for you if you contract COVID-19 in the next year? (1-10 scale with 10 being most serious),How confident are you that you can prevent getting COVID-19 in case of an outbreak? (1-5 scale with 5 being very confident),Please indicate your level of agreement with this statement: ‘My family and friends avoid crowded areas.’ (1-7 scale with 7 being strongly agree),I intend to get vaccinated for COVID-19 when the vaccine becomes available to me. (1-7 scale with 7 being Likely and 1 being Unlikely)
573,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,28,5,6,2,9,5,1,7
574,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,52,3,6,1,9,5,5,5
575,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,17,3,4,4,9,3,7,5
576,Had COVID,Male,Asian,Hispanic or Latino/A,46,1,5,4,3,2,6,3
577,Had COVID,Male,Other,Not Hispanic or Latino/A,42,3,7,6,3,5,6,4
578,Had COVID,Male,Black or African American,Not Hispanic or Latino/A,29,3,5,2,7,2,2,4
579,Hasn't had COVID,Female,Black or African American,Not Hispanic or Latino/A,40,2,4,2,5,1,7,3
580,Hasn't had COVID,Male,White,Hispanic or Latino/A,35,2,4,2,2,3,5,3
581,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,47,4,3,5,3,2,7,5
582,Had COVID,Female,White,Not Hispanic or Latino/A,24,3,2,6,9,4,7,5
583,Had COVID,Female,Asian,Not Hispanic or Latino/A,48,2,3,1,4,3,4,4
584,Hasn't had COVID,Female,Asian,Not Hispanic or Latino/A,51,1,4,4,5,3,4,3
585,Hasn't had COVID,Male,White,Hispanic or Latino/A,39,5,5,2,8,5,5,7
586,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,42,3,2,3,9,2,4,5
587,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,33,2,5,7,6,5,3,3
588,Hasn't had COVID,Male,Asian,Not Hispanic or Latino/A,43,2,6,1,10,2,4,5
589,Hasn't had COVID,Non-Binary or Transgender,Asian,Not Hispanic or Latino/A,37,4,9,3,10,3,5,7
590,Had COVID,Female,White,Not Hispanic or Latino/A,31,5,2,5,10,4,5,7
591,Hasn't had COVID,Female,Other,Not Hispanic or Latino/A,57,2,6,2,9,2,5,4
592,Hasn't had COVID,Male,White,Hispanic or Latino/A,37,4,7,4,4,4,6,5
593,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,51,2,4,7,2,1,4,2
594,Had COVID,Female,Black or African American,Not Hispanic or Latino/A,40,2,2,2,8,5,6,3
595,Had COVID,Female,White,Not Hispanic or Latino/A,42,2,1,1,7,3,2,4
596,Hasn't had COVID,Male,Asian,Not Hispanic or Latino/A,24,3,5,4,9,2,5,6
597,Hasn't had COVID,Female,Black or African American,Hispanic or Latino/A,55,5,1,1,8,4,5,6
598,Hasn't had COVID,Female,Asian,Hispanic or Latino/A,28,5,8,1,6,2,7,7
599,Hasn't had COVID,Female,White,Hispanic or Latino/A,40,3,2,1,7,3,4,5
600,Hasn't had COVID,Male,Asian,Not Hispanic or Latino/A,21,3,5,3,8,2,4,5
601,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,49,3,2,2,6,5,5,5
602,Hasn't had COVID,Male,Black or African American,Hispanic or Latino/A,41,5,5,2,4,5,4,5
603,Hasn't had COVID,Male,White,Hispanic or Latino/A,31,5,6,4,10,4,7,7
604,Hasn't had COVID,Female,Black or African American,Not Hispanic or Latino/A,38,5,6,2,6,5,6,6
605,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,42,5,5,4,6,2,6,7
606,Had COVID,Female,White,Not Hispanic or Latino/A,16,5,1,2,7,2,7,7
607,Had COVID,Male,White,Hispanic or Latino/A,63,5,7,2,10,3,7,7
608,Hasn't had COVID,Male,White,Hispanic or Latino/A,20,2,5,7,4,5,5,3
609,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,28,4,4,1,8,2,3,6
610,Hasn't had COVID,Male,White,Hispanic or Latino/A,52,3,3,7,4,2,6,4
611,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,28,3,7,7,7,2,5,4
612,Hasn't had COVID,Male,Black or African American,Not Hispanic or Latino/A,42,5,3,7,7,5,4,5
613,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,35,3,1,2,4,2,4,4
614,Had COVID,Female,White,Hispanic or Latino/A,37,1,5,3,10,3,5,4
615,Hasn't had COVID,Non-Binary or Transgender,Asian,Not Hispanic or Latino/A,45,5,1,1,10,1,4,7
616,Hasn't had COVID,Female,Black or African American,Not Hispanic or Latino/A,36,5,2,4,4,5,5,5
617,Had COVID,Male,Asian,Not Hispanic or Latino/A,38,5,4,1,4,1,7,7
618,Had COVID,Male,White,Not Hispanic or Latino/A,34,5,7,3,7,3,4,7
619,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,39,2,5,2,8,5,5,4
620,Hasn't had COVID,Female,Black or African American,Hispanic or Latino/A,67,1,7,2,6,3,7,2
621,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,56,1,8,1,5,2,5,3
622,Hasn't had COVID,Female,White,Hispanic or Latino/A,42,4,3,2,6,1,7,6
623,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,68,3,3,3,9,2,1,5
624,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,44,4,3,7,9,3,7,6
625,Hasn't had COVID,Female,Black or African American,Not Hispanic or Latino/A,62,1,1,2,7,1,6,2
626,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,35,2,6,3,9,3,7,5
627,Hasn't had COVID,Male,White,Hispanic or Latino/A,32,5,1,6,8,5,3,7
628,Hasn't had COVID,Male,White,Hispanic or Latino/A,37,5,3,3,8,2,7,7
629,Had COVID,Male,Other,Hispanic or Latino/A,53,5,2,2,5,4,1,6
630,Hasn't had COVID,Female,White,Hispanic or Latino/A,29,1,5,4,2,1,7,2
631,Hasn't had COVID,Male,Asian,Hispanic or Latino/A,38,5,4,2,8,5,6,7
632,Hasn't had COVID,Female,Black or African American,Not Hispanic or Latino/A,40,5,2,5,8,1,6,6
633,Had COVID,Female,White,Not Hispanic or Latino/A,38,4,3,1,5,2,7,6
634,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,37,1,8,4,4,1,7,2
635,Hasn't had COVID,Male,White,Hispanic or Latino/A,45,4,7,8,5,4,1,5
636,Hasn't had COVID,Female,Other,Not Hispanic or Latino/A,31,2,4,3,5,2,7,3
637,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,45,3,4,1,7,4,3,5
638,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,50,3,6,2,7,4,5,5
639,Hasn't had COVID,Female,Asian,Hispanic or Latino/A,32,5,5,1,8,3,6,7
640,Had COVID,Male,White,Not Hispanic or Latino/A,30,4,3,1,3,3,6,6
641,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,44,2,2,2,5,4,7,4
642,Hasn't had COVID,Male,Black or African American,Not Hispanic or Latino/A,52,5,6,4,5,1,2,5
643,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,48,5,4,4,5,3,7,7
644,Hasn't had COVID,Male,Asian,Not Hispanic or Latino/A,7,1,5,1,7,3,4,3
645,Hasn't had COVID,Female,White,Hispanic or Latino/A,33,5,4,5,7,4,6,7
646,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,34,5,4,2,10,5,7,7
647,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,41,2,3,6,8,1,2,3
648,Hasn't had COVID,Male,White,Hispanic or Latino/A,17,1,2,1,8,4,3,3
649,Had COVID,Female,Black or African American,Not Hispanic or Latino/A,26,3,7,1,5,3,5,4
650,Hasn't had COVID,Female,White,Hispanic or Latino/A,44,5,4,2,7,1,7,7
651,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,29,4,2,2,9,5,6,6
652,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,41,5,7,5,4,3,7,6
653,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,60,5,4,4,8,2,6,7
654,Hasn't had COVID,Male,White,Hispanic or Latino/A,52,2,5,3,4,2,6,4
655,Hasn't had COVID,Non-Binary or Transgender,Asian,Hispanic or Latino/A,41,3,6,1,9,3,3,6
656,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,38,3,4,4,9,3,7,5
657,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,51,5,5,4,8,5,2,7
658,Hasn't had COVID,Female,White,Hispanic or Latino/A,33,2,4,3,8,5,6,4
659,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,55,2,4,1,6,1,7,4
660,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,51,2,3,1,3,3,5,3
661,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,44,3,6,3,6,1,6,5
662,Hasn't had COVID,Male,White,Hispanic or Latino/A,17,5,3,3,8,5,3,7
663,Hasn't had COVID,Female,Other,Hispanic or Latino/A,62,5,3,5,9,3,5,7
664,Hasn't had COVID,Female,Black or African American,Not Hispanic or Latino/A,51,2,5,3,7,4,3,3
665,Had COVID,Female,White,Not Hispanic or Latino/A,57,4,5,3,8,1,6,7
666,Hasn't had COVID,Male,Black or African American,Hispanic or Latino/A,41,4,2,1,8,5,5,5
667,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,27,4,3,3,8,5,4,6
668,Had COVID,Female,White,Not Hispanic or Latino/A,48,4,3,3,8,5,7,7
669,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,23,5,7,6,10,5,7,7
670,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,55,2,6,1,6,5,5,4
671,Had COVID,Male,Other,Not Hispanic or Latino/A,53,3,3,3,5,5,7,5
672,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,20,3,1,4,9,2,3,5
673,Hasn't had COVID,Male,Asian,Not Hispanic or Latino/A,28,3,7,4,8,3,2,5
674,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,43,4,3,3,6,4,7,6
675,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,23,1,3,2,7,4,2,3
676,Hasn't had COVID,Male,White,Hispanic or Latino/A,26,5,1,1,6,5,4,7
677,Had COVID,Non-Binary or Transgender,White,Not Hispanic or Latino/A,17,5,1,7,4,2,6,6
678,Hasn't had COVID,Male,Asian,Hispanic or Latino/A,66,4,5,6,8,2,7,7
679,Hasn't had COVID,Male,White,Hispanic or Latino/A,21,2,5,4,6,4,6,4
680,Hasn't had COVID,Female,Other,Not Hispanic or Latino/A,49,2,1,5,8,1,3,3
681,Had COVID,Female,Asian,Not Hispanic or Latino/A,34,5,5,1,4,2,7,7
682,Hasn't had COVID,Male,Asian,Not Hispanic or Latino/A,8,3,5,4,8,5,7,5
683,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,54,4,5,1,6,5,6,6
684,Hasn't had COVID,Female,White,Hispanic or Latino/A,43,3,1,1,5,4,6,5
685,Hasn't had COVID,Female,Black or African American,Not Hispanic or Latino/A,61,5,1,2,4,3,5,5
686,Hasn't had COVID,Male,Asian,Hispanic or Latino/A,23,3,2,3,6,3,7,5
687,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,37,1,8,4,10,1,4,3
688,Hasn't had COVID,Female,Black or African American,Not Hispanic or Latino/A,36,1,7,7,8,2,4,1
689,Hasn't had COVID,Female,Black or African American,Not Hispanic or Latino/A,34,5,4,2,4,5,2,5
690,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,53,2,4,1,2,5,7,3
691,Hasn't had COVID,Female,Asian,Not Hispanic or Latino/A,41,2,5,1,6,5,7,4
692,Hasn't had COVID,Male,Other,Not Hispanic or Latino/A,59,2,3,1,6,5,7,4
693,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,53,2,4,1,7,3,7,4
694,Hasn't had COVID,Female,Asian,Not Hispanic or Latino/A,49,2,7,1,10,1,4,5
695,Hasn't had COVID,Non-Binary or Transgender,White,Not Hispanic or Latino/A,28,5,3,4,7,2,7,7
696,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,48,2,1,6,7,5,3,3
697,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,27,1,2,4,8,1,7,3
698,Hasn't had COVID,Female,Asian,Not Hispanic or Latino/A,30,5,1,6,6,4,4,7
699,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,52,5,4,3,7,5,7,7
700,Hasn't had COVID,Male,White,Hispanic or Latino/A,40,5,4,1,10,5,3,7
701,Had COVID,Non-Binary or Transgender,White,Hispanic or Latino/A,8,3,3,2,5,1,5,5
702,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,39,3,5,2,10,2,7,6
703,Hasn't had COVID,Female,Other,Hispanic or Latino/A,67,2,3,3,10,2,5,4
704,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,30,5,6,5,10,5,5,7
705,Had COVID,Male,Asian,Not Hispanic or Latino/A,11,5,5,3,5,1,5,7
706,Had COVID,Male,White,Not Hispanic or Latino/A,17,4,3,3,7,4,4,6
707,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,37,3,4,5,10,4,7,5
708,Hasn't had COVID,Male,Black or African American,Not Hispanic or Latino/A,28,1,2,1,10,5,4,2
709,Had COVID,Male,White,Not Hispanic or Latino/A,40,5,2,1,1,4,7,6
710,Hasn't had COVID,Male,White,Hispanic or Latino/A,48,4,4,3,6,2,3,6
711,Hasn't had COVID,Male,Other,Hispanic or Latino/A,28,5,2,3,7,3,4,7
712,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,49,5,3,4,6,3,7,7
713,Hasn't had COVID,Non-Binary or Transgender,White,Hispanic or Latino/A,53,5,2,1,8,3,6,7
714,Hasn't had COVID,Male,Other,Not Hispanic or Latino/A,42,2,7,2,9,2,5,4
715,Hasn't had COVID,Non-Binary or Transgender,White,Not Hispanic or Latino/A,27,4,6,2,5,5,7,6
716,Had COVID,Female,White,Hispanic or Latino/A,38,1,8,5,5,2,2,2
717,Hasn't had COVID,Female,Black or African American,Hispanic or Latino/A,39,3,3,3,10,4,4,4
718,Hasn't had COVID,Male,Asian,Not Hispanic or Latino/A,30,3,2,2,10,5,4,6
719,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,25,2,2,3,8,3,5,4
720,Hasn't had COVID,Female,Asian,Not Hispanic or Latino/A,33,2,3,1,5,3,7,4
721,Hasn't had COVID,Female,Black or African American,Hispanic or Latino/A,22,5,6,7,4,2,6,5
722,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,40,2,6,3,7,2,7,4
723,Had COVID,Female,White,Hispanic or Latino/A,28,2,5,4,10,1,4,5
724,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,18,4,7,3,9,2,6,6
725,Hasn't had COVID,Female,White,Hispanic or Latino/A,33,4,3,5,10,2,7,7
726,Had COVID,Female,Black or African American,Hispanic or Latino/A,39,5,3,2,8,5,7,7
727,Hasn't had COVID,Male,White,Hispanic or Latino/A,28,1,7,5,4,1,5,2
728,Hasn't had COVID,Female,Asian,Not Hispanic or Latino/A,45,5,3,4,4,3,2,6
729,Had COVID,Male,Black or African American,Not Hispanic or Latino/A,48,4,5,2,5,3,5,5
730,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,36,5,6,2,8,3,3,7
731,Had COVID,Male,White,Not Hispanic or Latino/A,50,3,6,6,5,4,5,4
732,Had COVID,Male,White,Not Hispanic or Latino/A,75,3,1,4,6,3,4,5
733,Hasn't had COVID,Female,Black or African American,Not Hispanic or Latino/A,32,5,6,2,10,1,7,7
734,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,37,5,6,5,5,5,2,6
735,Hasn't had COVID,Female,Black or African American,Not Hispanic or Latino/A,41,3,3,1,6,1,5,4
736,Had COVID,Male,White,Not Hispanic or Latino/A,54,3,3,1,9,2,7,6
737,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,40,1,3,4,2,4,1,1
738,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,46,5,3,5,2,5,7,6
739,Had COVID,Female,Asian,Not Hispanic or Latino/A,64,2,8,1,9,4,3,5
740,Had COVID,Female,Black or African American,Not Hispanic or Latino/A,26,4,6,1,4,4,5,5
741,Hasn't had COVID,Female,White,Hispanic or Latino/A,15,2,2,4,6,2,5,4
742,Hasn't had COVID,Male,White,Hispanic or Latino/A,52,5,3,3,5,3,6,7
743,Hasn't had COVID,Female,Asian,Not Hispanic or Latino/A,46,4,6,2,10,4,3,7
744,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,71,4,7,4,4,3,6,5
745,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,63,3,2,3,5,4,5,4
746,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,27,2,3,7,10,3,5,4
747,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,31,5,2,4,9,4,7,7
748,Hasn't had COVID,Male,Other,Not Hispanic or Latino/A,33,5,3,2,4,3,7,6
749,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,51,3,5,4,4,5,5,4
750,Hasn't had COVID,Male,Asian,Hispanic or Latino/A,19,3,4,2,8,2,7,6
751,Hasn't had COVID,Male,Asian,Not Hispanic or Latino/A,50,4,3,1,10,5,5,7
752,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,21,5,6,6,3,5,4,6
753,Hasn't had COVID,Female,White,Hispanic or Latino/A,25,5,5,7,10,5,6,7
754,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,69,5,6,3,7,5,7,7
755,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,39,1,1,2,3,5,6,2
756,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,45,2,4,2,5,3,2,3
757,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,37,4,6,3,4,4,5,5
758,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,15,4,1,4,8,3,6,6
759,Hasn't had COVID,Female,Black or African American,Hispanic or Latino/A,47,2,1,3,8,3,3,3
760,Hasn't had COVID,Female,Asian,Not Hispanic or Latino/A,25,2,5,2,10,1,7,5
761,Hasn't had COVID,Female,White,Hispanic or Latino/A,45,2,3,2,6,4,1,3
762,Hasn't had COVID,Male,Other,Not Hispanic or Latino/A,46,5,5,4,10,3,6,7
763,Hasn't had COVID,Male,Black or African American,Not Hispanic or Latino/A,29,3,8,1,4,3,5,3
764,Hasn't had COVID,Male,White,Hispanic or Latino/A,20,2,5,3,9,5,5,4
765,Hasn't had COVID,Female,Black or African American,Not Hispanic or Latino/A,40,5,6,3,7,2,7,6
766,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,40,3,5,1,10,4,7,6
767,Hasn't had COVID,Male,Black or African American,Not Hispanic or Latino/A,19,5,5,3,8,3,6,6
768,Had COVID,Male,White,Hispanic or Latino/A,42,3,2,5,6,3,5,5
769,Had COVID,Male,White,Not Hispanic or Latino/A,39,3,6,1,8,2,5,6
770,Had COVID,Female,Asian,Not Hispanic or Latino/A,30,5,5,3,5,2,3,7
771,Had COVID,Female,White,Not Hispanic or Latino/A,31,2,4,4,5,4,6,4
772,Hasn't had COVID,Male,Asian,Hispanic or Latino/A,42,2,4,4,10,2,5,5
773,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,40,5,3,2,7,4,5,7
774,Had COVID,Female,Asian,Not Hispanic or Latino/A,34,5,8,1,5,2,5,7
775,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,39,1,6,3,9,3,6,3
776,Hasn't had COVID,Male,Other,Not Hispanic or Latino/A,48,4,3,2,3,1,2,5
777,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,26,2,4,4,10,5,7,4
778,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,34,4,5,5,9,3,4,6
779,Had COVID,Male,White,Not Hispanic or Latino/A,47,3,5,2,1,5,7,4
780,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,40,5,4,7,5,1,4,6
781,Hasn't had COVID,Female,White,Hispanic or Latino/A,40,4,1,2,3,5,2,5
782,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,36,1,3,3,9,3,4,3
783,Hasn't had COVID,Female,Other,Not Hispanic or Latino/A,52,3,7,3,3,2,4,4
784,Hasn't had COVID,Non-Binary or Transgender,White,Not Hispanic or Latino/A,21,5,4,5,5,3,6,7
785,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,46,1,4,5,10,4,3,3
786,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,25,3,4,3,6,1,6,5
787,Had COVID,Female,White,Not Hispanic or Latino/A,67,3,7,2,9,2,3,6
788,Hasn't had COVID,Female,White,Hispanic or Latino/A,24,2,3,5,5,3,7,4
789,Hasn't had COVID,Female,White,Hispanic or Latino/A,27,2,5,4,10,5,6,5
790,Hasn't had COVID,Non-Binary or Transgender,White,Not Hispanic or Latino/A,49,4,4,3,5,2,4,6
791,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,50,1,8,2,10,1,1,3
792,Hasn't had COVID,Male,Black or African American,Not Hispanic or Latino/A,25,2,2,5,5,5,5,2
793,Hasn't had COVID,Female,Asian,Not Hispanic or Latino/A,29,3,4,2,5,3,7,5
794,Hasn't had COVID,Female,White,Hispanic or Latino/A,52,1,2,2,10,4,3,3
795,Hasn't had COVID,Female,Asian,Not Hispanic or Latino/A,57,5,7,2,10,3,6,7
796,Hasn't had COVID,Female,Asian,Not Hispanic or Latino/A,24,1,4,2,3,1,7,3
797,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,69,3,3,7,4,4,6,4
798,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,26,4,4,6,8,1,2,6
799,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,29,4,3,8,7,5,3,5
800,Hasn't had COVID,Female,Black or African American,Not Hispanic or Latino/A,34,5,4,1,6,5,7,6
801,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,38,3,8,5,6,1,7,5
802,Hasn't had COVID,Non-Binary or Transgender,White,Hispanic or Latino/A,44,5,2,4,9,1,3,7
803,Hasn't had COVID,Male,Asian,Hispanic or Latino/A,32,2,5,2,5,1,4,4
804,Hasn't had COVID,Female,Other,Hispanic or Latino/A,24,5,7,4,10,1,7,7
805,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,28,3,6,5,5,5,3,4
806,Hasn't had COVID,Female,Black or African American,Not Hispanic or Latino/A,32,2,4,1,7,3,2,3
807,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,45,1,7,1,10,4,1,3
808,Hasn't had COVID,Male,Other,Not Hispanic or Latino/A,66,1,3,5,7,1,3,2
809,Had COVID,Female,White,Hispanic or Latino/A,31,5,2,4,6,5,7,7
810,Hasn't had COVID,Female,Other,Not Hispanic or Latino/A,53,5,6,2,9,2,4,7
811,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,24,1,2,3,4,4,4,2
812,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,12,5,4,2,4,2,7,7
813,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,42,2,4,1,4,4,7,4
814,Had COVID,Female,White,Not Hispanic or Latino/A,33,3,5,3,4,4,2,4
815,Hasn't had COVID,Male,Black or African American,Not Hispanic or Latino/A,37,3,3,4,7,5,4,3
816,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,44,4,4,4,7,2,6,6
817,Hasn't had COVID,Female,White,Hispanic or Latino/A,9,4,7,2,4,2,6,6
818,Hasn't had COVID,Male,Asian,Hispanic or Latino/A,32,5,2,1,7,5,7,7
819,Hasn't had COVID,Male,White,Hispanic or Latino/A,26,5,4,1,10,3,1,7
820,Hasn't had COVID,Male,White,Hispanic or Latino/A,45,4,1,2,5,2,2,6
821,Hasn't had COVID,Male,Asian,Hispanic or Latino/A,42,3,4,3,7,5,4,5
822,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,41,4,4,2,8,5,3,6
823,Hasn't had COVID,Male,Black or African American,Hispanic or Latino/A,24,2,4,4,6,2,7,3
824,Hasn't had COVID,Male,Asian,Not Hispanic or Latino/A,30,2,3,4,9,5,6,4
825,Hasn't had COVID,Female,Black or African American,Hispanic or Latino/A,25,2,2,5,6,4,6,3
826,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,28,4,3,4,6,5,7,6
827,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,46,2,4,1,5,2,1,3
828,Hasn't had COVID,Male,Other,Not Hispanic or Latino/A,53,2,6,3,5,5,7,3
829,Hasn't had COVID,Male,Black or African American,Not Hispanic or Latino/A,21,5,3,2,6,2,3,6
830,Hasn't had COVID,Female,Black or African American,Hispanic or Latino/A,44,1,5,3,6,5,4,2
831,Hasn't had COVID,Male,Asian,Not Hispanic or Latino/A,30,2,4,1,6,3,7,4
832,Hasn't had COVID,Female,Asian,Hispanic or Latino/A,25,3,6,3,7,5,1,5
833,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,33,5,4,2,10,4,6,7
834,Hasn't had COVID,Female,White,Hispanic or Latino/A,26,1,4,4,10,2,6,4
835,Hasn't had COVID,Female,Black or African American,Not Hispanic or Latino/A,24,5,2,4,4,4,6,5
836,Hasn't had COVID,Male,White,Hispanic or Latino/A,31,3,3,2,9,4,5,6
837,Hasn't had COVID,Male,Asian,Not Hispanic or Latino/A,31,3,2,4,9,3,4,5
838,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,56,3,5,2,8,2,6,5
839,Hasn't had COVID,Female,Black or African American,Not Hispanic or Latino/A,55,5,3,2,5,1,5,6
840,Hasn't had COVID,Male,Black or African American,Not Hispanic or Latino/A,67,3,4,6,4,2,4,3
841,Hasn't had COVID,Female,White,Hispanic or Latino/A,23,5,5,1,10,5,6,7
842,Hasn't had COVID,Female,Black or African American,Not Hispanic or Latino/A,42,4,3,3,4,1,3,4
843,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,24,2,3,2,8,1,6,4
844,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,27,3,3,2,6,3,5,5
845,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,52,3,4,3,3,4,2,4
846,Hasn't had COVID,Female,White,Hispanic or Latino/A,20,2,1,4,6,3,3,3
847,Hasn't had COVID,Female,Other,Not Hispanic or Latino/A,41,5,4,4,7,5,6,7
848,Hasn't had COVID,Female,White,Hispanic or Latino/A,25,5,5,2,8,3,6,7
849,Hasn't had COVID,Male,Other,Not Hispanic or Latino/A,22,3,6,2,8,5,1,4
850,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,46,5,3,3,10,2,3,7
851,Hasn't had COVID,Female,Asian,Hispanic or Latino/A,70,5,4,7,6,2,7,7
852,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,73,4,3,1,9,1,5,7
853,Hasn't had COVID,Female,White,Hispanic or Latino/A,27,3,4,2,4,2,4,5
854,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,22,3,4,6,3,3,7,4
855,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,24,5,4,5,9,1,3,7
856,Hasn't had COVID,Male,Asian,Hispanic or Latino/A,28,5,2,4,10,3,7,7
857,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,67,5,2,1,10,3,7,7
858,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,23,5,2,3,7,2,6,7
859,Hasn't had COVID,Female,Black or African American,Not Hispanic or Latino/A,29,4,4,3,9,5,7,5
860,Hasn't had COVID,Male,Black or African American,Not Hispanic or Latino/A,56,5,4,4,8,1,5,6
861,Hasn't had COVID,Female,White,Hispanic or Latino/A,37,4,2,1,10,3,4,7
862,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,35,2,6,4,7,5,7,4
